	0
679	3962
680	3968
681	3973
682	3981
683	3982
684	3983
685	4001
686	4014
687	4015
688	4028
689	4030
690	4035
691	4036
692	4045
693	4046
694	4050
695	4052
696	4062
697	4075
698	4077
699	4086
700	4108
701	4130
702	4137
703	4139
704	4140
705	4141
706	4157
707	4166
708	4173
709	4185
710	4212
711	4214
712	4215
713	4228
714	4239
715	4249
716	4254
717	4257
718	4268
719	4272
720	4273
721	4282
722	4290
723	4291
724	4294
725	4295
726	4298
727	4310
728	4317
729	4325
730	4344
731	4346
732	4359
733	4362
734	4378
735	4382
736	4384
737	4385
738	4399
739	4405
740	4408
741	4411
742	4426
743	4435
744	4440
745	4445
746	4479
747	4497
748	4498
749	4499
750	4508
751	4512
752	4517
753	4519
754	4525
755	4531
756	4532
757	4542
758	4543
759	4546
760	4549
761	4552
762	4553
763	4563
764	4568
765	4576
766	4584
767	4592
768	4603
769	4613
770	4614
771	4615
772	4619
773	4666
774	4669
775	4670
776	4685
777	4686
778	4696
779	4698
780	4702
781	4706
782	4707
783	4715
784	4716
785	4723
786	4727
787	4730
788	4735
789	4737
790	4740
791	4744
792	4747
793	4757
794	4758
795	4760
796	4765
797	4778
798	4779
799	4788
800	4790
801	4791
802	4795
803	4798
804	4805
805	4812
806	4817
807	4851
808	4854
809	4859
810	4862
811	4866
812	4867
813	4872
814	4879
815	4889
816	4890
817	4896
818	4897
819	4900
820	4901
821	4903
822	4904
823	4922
824	4928
825	4941
826	4942
827	4943
828	4947
829	4965
830	4968
831	4971
832	4972
833	4978
834	5005
835	5009
836	5011
837	5070
838	5072
839	5073
840	5076
841	5101
842	5104
843	5121
844	5124
845	5128
846	5129
847	5134
848	5144
849	5155
850	5156
851	5161
852	5168
853	5178
854	5181
855	5190
856	5215
857	5271
858	5272
859	5280
860	5292
861	5325
862	5327
863	5330
864	5334
865	5335
866	5336
867	5368
868	5372
869	5392
870	5393
871	5394
872	5403
873	5404
874	5405
875	5406
876	5409
877	5416
878	5427
879	5428
880	5434
881	5435
882	5439
883	5447
884	5456
885	5457
886	5464
887	5474
888	5480
889	5486
890	5497
891	5500
892	5524
893	5533
894	5539
895	5552
896	5557
897	5566
898	5580
899	5611
900	5614
901	5617
902	5621
903	5629
904	5634
905	5637
906	5638
907	5651
908	5657
909	5665
910	5673
911	5674
912	5684
913	5685
914	5689
915	5691
916	5692
917	5697
918	5699
919	5702
920	5706
921	5707
922	5708
923	5713
924	5714
925	5717
926	5718
927	5720
928	5722
929	5730
930	5733
931	5735
932	5736
933	5738
